,text,class,embedding
486,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",1,"[ 0.02258658 -0.08305169 -0.06752551 -0.01463945 -0.02332273 -0.04229546
 -0.04209469  0.31587748 -0.0372093   0.0943617   0.06608666  0.0582901
 -0.01755061 -0.0778986  -0.22512964  0.15566335 -0.08867324  0.04621047
 -0.07836707 -0.1780157   0.10259326  0.03610507 -0.1860465  -0.05755395
 -0.03781161 -0.13317717  0.07167474  0.01511628 -0.03510122 -0.10259326
 -0.14522334  0.09523171 -0.1177179  -0.12902793 -0.14401872  0.01229714
  0.14776642  0.28562821  0.14883719  0.13230716 -0.09396017  0.2302158
 -0.12869331  0.06786012 -0.16596953 -0.16998493 -0.1292287  -0.04507277
  0.19849421  0.06377781  0.09871171  0.05752049 -0.05869164 -0.07776475
  0.07134013  0.00357203  0.17199262  0.26648817  0.01848753 -0.0937594
 -0.00434164 -0.09717249  0.10627403  0.25752046]"
487,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,2,"[ 0.0004367  -0.05013195 -0.10422282  0.07582189 -0.03109042 -0.11971423
 -0.07874805  0.2793619  -0.00340757 -0.04143954  0.23994486 -0.00694962
 -0.02450656  0.12737389 -0.11842329  0.00142812 -0.26042796  0.08399791
 -0.18021684  0.10998907  0.01049974 -0.01636281  0.01530853  0.1296976
  0.12943941 -0.03685667  0.00400195 -0.02146207 -0.11308736  0.26628027
 -0.04729186  0.06532215 -0.07861895  0.0322953  -0.11515288 -0.25010035
  0.25405926 -0.26696879  0.16601637 -0.11687415  0.14768485  0.04638819
  0.04105226  0.04720579  0.07143265  0.03664151 -0.14759879 -0.22496983
  0.13520566  0.05568304  0.14105797  0.00029937  0.01617993 -0.07616614
 -0.00712713  0.09380914  0.04139651  0.23357616  0.08335244  0.08701014
 -0.2177405  -0.04677548  0.00956918  0.04462389]"
488,"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx .",2,"[ 0.12638874 -0.0033554  -0.03128505  0.02734741 -0.02401002  0.03443037
 -0.15664137 -0.05181362  0.01755132 -0.15174332 -0.06040921 -0.07543948
 -0.11995406 -0.11918574 -0.19438511  0.07313452  0.03046872 -0.16346021
 -0.10343516 -0.05877653 -0.0210928  -0.08230634  0.09642423  0.07294244
 -0.05459878  0.01659092 -0.03579894 -0.02072065 -0.08984549  0.19236827
 -0.00350846  0.12417982  0.15212748  0.16173149  0.16816617  0.09892128
 -0.09311085 -0.05589532  0.22454169  0.14934232  0.07260629  0.14213932
 -0.11495997  0.04201753  0.13013431  0.0711657   0.02244937 -0.1766177
 -0.00755115 -0.15472057  0.06372259 -0.08124991 -0.08806875 -0.03541478
 -0.00410271  0.08845291 -0.03800786  0.56855728  0.0040757   0.15596908
 -0.20552577 -0.04446656  0.09464749  0.0045499 ]"
489,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",2,"[ 0.0160928   0.09004151  0.02620781 -0.06886677  0.02138649  0.08085493
 -0.06140674  0.30361317 -0.01184157  0.12554992  0.24549667 -0.01342967
 -0.2804187  -0.10847981 -0.11734063 -0.17864965 -0.00086277 -0.09303855
  0.00630356  0.03296744 -0.13330312 -0.10137813 -0.17395862  0.1348668
  0.10593885  0.04534652 -0.03238106  0.04691019  0.0910188   0.09772957
 -0.06339391  0.00920287 -0.08105039  0.09935839  0.013674    0.1692676
  0.09538406 -0.1058737   0.20627453  0.00094472  0.23924198  0.1295894
 -0.05951731  0.07212442  0.08958544 -0.26712748 -0.04397831  0.07688059
 -0.1232044  -0.18751046  0.06179766  0.10847981  0.03304888  0.07258049
 -0.09453706  0.08170191 -0.03459627  0.33514724  0.03194128  0.09349462
 -0.08157161  0.05788848  0.21370197 -0.03280456]"
490,"France fell into recession in Q1, revised GDP data shows. ",0,"[-0.07201814  0.15734657 -0.01524146  0.09566767 -0.12288244 -0.33228172
  0.14225366  0.1358362  -0.02748217 -0.13203327  0.19739626  0.07112683
  0.05038893  0.07243409  0.16328867 -0.04245624  0.0113791   0.0389207
  0.16316981 -0.08307043 -0.0667891  -0.07647471  0.12098097  0.04590265
 -0.1386884   0.08705164  0.05338969  0.01246354  0.13571736  0.03767286
  0.03369166 -0.11188958  0.11260262 -0.25646065 -0.22508641  0.13833188
 -0.0718993   0.08277333  0.01715779 -0.02375351 -0.12918106  0.08206027
  0.00035792  0.16768581  0.05416216  0.24624026 -0.07796023 -0.10915621
  0.0409113   0.15033491 -0.21522254 -0.11206784 -0.08390233  0.21320223
 -0.1656655  -0.12383318  0.09430098 -0.10582865 -0.15081027  0.10054018
 -0.1017286   0.12906222 -0.10119381  0.09810392]"
491,Profit after taxes totaled EUR 12.1 mn .,1,"[-0.02584072  0.11599298  0.02575577 -0.12584785  0.0957735   0.01524957
 -0.15643194  0.32079308 -0.06371685 -0.03851329  0.18180541 -0.10812041
 -0.10919652  0.0253593  -0.12641423 -0.17478239 -0.12947263 -0.06972039
 -0.04607436 -0.07345844 -0.13207794 -0.06479295 -0.08665491  0.04250622
  0.03174515 -0.03437878 -0.11927794  0.00800708  0.13105848 -0.01437169
 -0.05312569  0.08710801  0.01192921 -0.01922833  0.20457356  0.10087084
  0.11350094 -0.0845027   0.19426559  0.04409206  0.23198596  0.10664784
 -0.10290979  0.02347612  0.03667259 -0.15246734 -0.14204609  0.00856638
 -0.07056995 -0.03644604 -0.08982659  0.06247083 -0.03437878  0.03168851
 -0.09650978  0.26053111  0.04760356  0.43270818 -0.03004603  0.01796815
 -0.12494165  0.17750098  0.22088506 -0.03352922]"
492,"Technopolis , St. Petersburg 's Telecommunications University and the Russian Support Fund for Legislative Initiatives signed a protocol of intent in May of this year to set up a technopark in St. Petersburg on the base of the St. Petersburg Telecommunications University .",1,"[-1.07400046e-01  2.19832590e-02 -8.93795056e-02 -1.72490989e-01
  6.98522228e-02 -3.82710629e-02  1.16536516e-04  1.29217569e-01
  2.00094363e-02  1.83701091e-01  5.47848753e-02 -2.43186969e-02
  2.37612073e-02 -9.37188957e-02 -6.14747737e-02 -2.31916599e-01
 -1.19815545e-01  2.07477369e-02  6.75017145e-02 -1.18203333e-02
  9.48037478e-02 -1.73093679e-01 -1.07460319e-01 -1.58146876e-01
  2.76787165e-02 -1.79000081e-02  1.75383919e-02 -9.67323707e-02
 -1.85268105e-01  2.97730777e-01  4.71607972e-02  5.74668601e-02
  7.43724261e-02 -1.40909825e-01  1.48262690e-01  1.58056470e-02
  3.10688702e-02 -3.47151682e-01  4.19474954e-02  4.15858781e-02
  9.58283273e-02 -6.76147211e-03  3.14606193e-01  1.61883577e-01
  3.83652308e-03  2.59007706e-02  1.65138115e-01 -2.32157690e-01
  5.70449747e-02  1.40955031e-02 -1.29458642e-01 -9.69131794e-02
 -9.09465021e-02  7.89528998e-03  2.74225717e-02  3.52575925e-02
  1.06556276e-01  2.15643873e-01  4.79744317e-02  9.76364050e-02
  1.00348535e-01  2.68801479e-01 -8.40757995e-02 -2.10340158e-02]"
493,"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",2,"[-0.05860748  0.08610234 -0.04755691  0.00677505 -0.07893263  0.13458013
 -0.16049634  0.1456307  -0.26731849 -0.02363046  0.19956799 -0.08616812
 -0.01490676 -0.00496207 -0.07544643  0.04393917 -0.1147812  -0.05318086
  0.12563443  0.01541653  0.27468554 -0.14392049  0.00712038 -0.05314797
 -0.07090781 -0.00316964  0.08958853 -0.06426432 -0.05699594  0.00383563
  0.17628288  0.15654971 -0.15878614  0.10892703 -0.09550848 -0.16444298
  0.23495612  0.14168407  0.05716038  0.00214804  0.09925778  0.07912996
 -0.06380388  0.22679974  0.03352992  0.06067946  0.06482342 -0.05719327
 -0.09873157 -0.07367045  0.06176478 -0.08432636 -0.10142843 -0.03083306
  0.01422432  0.0637381   0.00573495  0.44807422 -0.03953209  0.14655158
 -0.16273276  0.00255914  0.23035172  0.02441978]"
494,The aim is to increase sales by at least one fifth in 2006 .,2,"[-0.07853325 -0.07544083 -0.0058837   0.02621371  0.07544083 -0.19129895
 -0.24221612  0.30205098 -0.15649117  0.18396342  0.0049353   0.04088476
 -0.00993352 -0.14929948 -0.24609961  0.05692222  0.01710723 -0.03579664
  0.18684009 -0.00502969 -0.14771731 -0.22495606 -0.18036758  0.18425109
 -0.09421113 -0.0017732   0.00395543  0.05961911 -0.02299543  0.24466128
  0.0361742  -0.0089986   0.02144921  0.06699059 -0.02736438  0.02601594
  0.02434387 -0.05318255 -0.09636864  0.10449525  0.21589452  0.04523573
 -0.1579295   0.11254995  0.20582616  0.03775637 -0.13383735 -0.03496959
  0.02398428 -0.23603125 -0.18712777  0.0885297  -0.0014271   0.12168339
  0.03624612  0.01914787 -0.10061174  0.21416852  0.01639705  0.07252819
  0.15217616  0.12592649 -0.00418691  0.063179  ]"
495,"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said .",2,"[ 0.00579188  0.05272711  0.04503897 -0.07747056 -0.20713801 -0.20254281
  0.03437572  0.2089054  -0.03281453  0.18215893  0.2410719  -0.03369822
 -0.09378945 -0.13396811 -0.06012069 -0.01446314 -0.09720641 -0.18333718
 -0.03920658 -0.11859182  0.13502854 -0.19559108 -0.27406317  0.00338013
  0.02729144 -0.06062145 -0.05602624  0.09255229 -0.14280505 -0.02783638
  0.148932    0.09431967 -0.08047513 -0.18793239  0.27359185  0.01058961
  0.12666289 -0.08347968  0.05475961  0.12878377 -0.05069462  0.05717504
  0.08406881  0.04356614  0.06262449  0.2006576   0.10845879 -0.04406691
  0.02723252 -0.11841508 -0.09956293 -0.04492114  0.08860511  0.11664769
 -0.03726246 -0.14056636  0.03755702  0.34829352  0.00670503  0.08895859
 -0.20407454 -0.0271147   0.04877994 -0.02989834]"
496,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,2,"[ 0.02454439  0.14970994 -0.03498387 -0.09174374  0.1026936   0.00058239
  0.00648021  0.01325428 -0.01866734  0.05128494  0.16666057  0.12248995
 -0.24201046  0.05366668  0.17024866  0.07423633  0.0080036  -0.16938257
 -0.02935428 -0.11902559 -0.04584093 -0.06631779  0.05691452 -0.04321173
  0.13746094  0.04151048 -0.06127591  0.08827937 -0.04642864  0.10751896
 -0.05246034  0.05713104  0.02258022  0.15329803 -0.03733469  0.14723539
  0.23211226  0.10226055  0.12446958  0.00065778  0.09267169 -0.04915064
  0.01316148  0.2477019   0.23656646 -0.19870593  0.03226187 -0.15663866
  0.10325037 -0.01425183 -0.11896373 -0.05379041 -0.08827937 -0.01427503
  0.02414227 -0.10312664  0.00790694  0.53202706  0.04482019  0.02677148
 -0.11191128  0.00651888  0.13548131  0.15243194]"
497,"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",1,"[ 2.72731579e-02  1.61004717e-01 -1.90159164e-04  1.25530284e-01
  7.43909182e-02  1.64025305e-02 -1.89665241e-02  2.60614080e-01
 -7.62875684e-02 -7.64368434e-03  1.33994977e-02  1.68169846e-01
  7.02902875e-03 -7.07029858e-02  7.95101241e-03 -9.98903589e-02
 -1.78004344e-01 -2.30408144e-01  7.20025449e-02  8.23990086e-02
 -2.09158605e-02 -1.41967937e-01 -1.61830109e-02  7.61185425e-04
 -1.31571473e-01  1.30219239e-02 -4.16912275e-02 -2.40769486e-02
 -4.50630559e-02  7.03517518e-02 -1.28340138e-01 -7.03868774e-02
 -1.14150374e-01 -1.42810899e-01 -2.57101767e-02  1.13799145e-02
  7.27050084e-02  6.13602151e-02 -6.66638194e-02  1.21245261e-01
 -7.08171330e-03  3.02937524e-02 -7.60768325e-02  1.65500476e-01
  1.25460042e-01 -1.77582854e-01  5.43531371e-03 -1.94933707e-02
 -3.56280877e-03 -9.18822685e-02 -7.95891545e-02 -2.10598662e-01
  4.24288166e-02  9.77829639e-02  4.16209807e-02 -1.63147231e-02
 -2.46845796e-01  6.07490711e-01 -4.99100539e-02  1.13096677e-01
 -3.51758759e-02 -2.74663355e-02 -3.24538292e-02  5.66537064e-02]"
498,Net profit in the same period in 2006 was (  x20ac ) 172 million .,1,"[ 0.10282698  0.02564881  0.01565577  0.00453308  0.11638277 -0.11898964
 -0.12953303  0.24469924 -0.04617076  0.03107982  0.26485913 -0.04362181
 -0.17634104  0.09784494 -0.12084343 -0.08695397 -0.02068126 -0.06482444
 -0.04113079  0.10329042 -0.18769545 -0.12385582 -0.2040319   0.06181205
 -0.05234038  0.01141959 -0.13717988 -0.06992235  0.06835822  0.07409336
  0.00448601 -0.00782064 -0.13578954  0.17240174  0.11394967  0.08596915
  0.05599002 -0.22245387  0.04782179  0.15374807  0.26022467  0.08510019
 -0.1857258   0.09280497  0.12559374 -0.09784494 -0.16741971  0.04706869
 -0.07299268 -0.12860614 -0.01159338  0.04524387  0.08058159  0.12964889
 -0.16684039  0.10108906 -0.04266596  0.27505493  0.01168752  0.01172372
 -0.00716892  0.1938361   0.2523461   0.10549179]"
499,UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,2,"[ 0.2214073   0.09463284 -0.06763617  0.05324181  0.09226267 -0.05841568
 -0.14174692  0.03095656 -0.01777617 -0.06393642  0.0970608  -0.05604553
 -0.23158164 -0.16579534 -0.30384251  0.11579082  0.0086424   0.0206088
 -0.22880681 -0.0031578  -0.0212447  -0.18683771 -0.12636981 -0.03292205
 -0.11480807 -0.0035733  -0.0698329   0.0113305  -0.0631849   0.06231777
 -0.06428327  0.18753141 -0.04173788  0.1662578   0.00349201  0.10671485
 -0.00719357 -0.10752417  0.02153374 -0.11515492  0.09856382 -0.07838859
 -0.01304309  0.06399422  0.18059437  0.02763256  0.07937134 -0.25828924
 -0.11128173 -0.08237739  0.21331408  0.03824045 -0.20834254  0.02913558
 -0.19666518  0.02221299  0.04575558  0.38778074  0.00437901  0.11093488
 -0.08012285 -0.04355885  0.10041371  0.04225816]"
500,"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",1,"[-5.15073442e-02  1.75566378e-01 -7.31733814e-02  8.68040173e-03
 -5.69782522e-02  1.37518701e-01 -7.54736461e-02 -7.52832534e-05
 -8.34313297e-02 -2.85046680e-02  6.35992925e-02  6.80754869e-02
 -5.53929306e-02  5.66984900e-02 -3.43485914e-02  6.47183411e-02
 -4.16534973e-02 -3.17063929e-02 -4.83056214e-02 -1.17562329e-01
  2.55205377e-02 -1.39135106e-01  5.98069574e-02 -1.65059751e-02
 -1.82778035e-02 -1.35156269e-01  1.00652256e-01 -5.56416090e-02
 -6.69564383e-02 -5.47712388e-02  4.44822026e-02 -5.38697806e-02
 -9.25080618e-02  1.40502833e-01  1.98444707e-01 -7.59710029e-02
  1.82032000e-01  9.61138860e-02 -1.44357336e-01 -9.35027754e-02
  7.01892491e-02  9.76059480e-02  8.76588457e-02  2.34844891e-02
 -1.22535880e-01 -1.03698556e-01 -1.30307052e-01  5.37765294e-02
 -3.05718003e-02  1.57537249e-01  3.93532285e-02  2.28006256e-02
 -2.77430930e-02  4.05344445e-02  7.60331704e-02  1.22038523e-01
 -2.15603457e-01  6.78889793e-01  1.00341402e-01  4.53836607e-02
 -1.32669493e-01 -7.24895137e-02  1.05750142e-01 -1.75822828e-03]"
501,American manufacturing is roaring back,2,"[ 0.07233844  0.20469908 -0.06614134  0.00125818 -0.01716869 -0.05027833
 -0.01374859  0.13789515 -0.0446269   0.03609127  0.2059463   0.03375274
  0.21031155 -0.14109114 -0.14413122  0.07982173 -0.12846309 -0.03745541
  0.08863018 -0.05982732  0.0122188   0.03301221 -0.17414233  0.14280606
 -0.06657007  0.01081569 -0.03425942  0.05133067 -0.13867466  0.07385848
 -0.10850766  0.12152546  0.18240512  0.02054006  0.21202647  0.21218237
 -0.07311795  0.06781729  0.13493302 -0.06103556 -0.02938749  0.12152546
 -0.03657846  0.15738287  0.26986604  0.10094642 -0.24460994  0.0470044
 -0.06968811  0.32926461 -0.17445413 -0.09634732 -0.15371919 -0.00451872
  0.01933182 -0.16307329 -0.042873    0.03650051 -0.21124695 -0.11879717
 -0.0519153   0.07393643  0.17507773  0.0277895 ]"
502,"Australia to spend A$539.2m on hydrogen, carbon capture projects",1,"[ 0.05492135  0.12761963 -0.05916286 -0.0555451  -0.11533172 -0.03124997
  0.13011463  0.10703581 -0.04681258  0.12824338  0.2546155  -0.06605532
 -0.0374563   0.02987771 -0.021613   -0.03957705 -0.06649195 -0.0011208
  0.05398572 -0.07709573 -0.04369382 -0.15019944 -0.086452   -0.13672641
 -0.15119745  0.05632479 -0.12649688  0.17302876  0.0474987   0.1832583
  0.15319346 -0.06156431 -0.09767954 -0.05682379  0.11040407 -0.04993134
  0.03439991 -0.05217684  0.03436873  0.07266709  0.07653435 -0.01142246
 -0.13485515  0.2732033   0.08682626  0.06798895 -0.15044894 -0.09331327
  0.06215687 -0.15518946 -0.10541406  0.12836813 -0.1855038   0.17539902
 -0.01425273 -0.03614642  0.07578585  0.50274399 -0.02633792  0.08682626
  0.03458704  0.04441113  0.21220038  0.15169644]"
503,"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook .",1,"[-0.12296913 -0.19654961 -0.03111916  0.08384586 -0.11040662 -0.1414181
 -0.24062612  0.08700443 -0.09317801  0.1931039   0.06424832 -0.0770262
 -0.08786586 -0.12232307 -0.16209242  0.05882849 -0.15247312  0.08284085
 -0.13660845 -0.09942338  0.16482028  0.13689559 -0.01192542  0.05552634
  0.1180877   0.01412386  0.07874906  0.10373053 -0.00903604  0.04809651
 -0.03203443  0.04716329 -0.01258944  0.26230545 -0.08686086 -0.02530451
 -0.07160637  0.11837484  0.00155125 -0.03237541 -0.09317801  0.02876817
  0.04142043  0.07946692 -0.12892736  0.10351518 -0.10523803 -0.11765698
  0.00353994 -0.25842901  0.13179879  0.25297329 -0.05832599  0.18822245
  0.18018244  0.00364089  0.32332339 -0.08104621  0.06299207 -0.07946692
 -0.08800944 -0.02035128  0.26517687 -0.03350604]"
504,Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .,1,"[-0.01807113  0.05670999 -0.02310941  0.00832804  0.04639908 -0.08602037
 -0.07412317  0.2594311  -0.11897201  0.06323543  0.14629952 -0.01102294
 -0.02482189 -0.19944036 -0.09921545  0.03635857  0.02067589  0.11644837
 -0.04614672 -0.21905271  0.06359595 -0.00049149  0.13930542 -0.31927762
 -0.12827346 -0.05451081 -0.14629952  0.09135609 -0.12063041  0.13245551
  0.05721472  0.11219421 -0.17651121 -0.03825131  0.06413673  0.04845406
  0.04845406 -0.03623238 -0.18343321  0.20275716 -0.15747568 -0.12084673
 -0.21934113  0.02013511  0.14514586 -0.04708408 -0.00674175 -0.09993649
 -0.08328041 -0.07426738  0.06049547  0.09517761 -0.10916584  0.0745558
  0.0390084   0.17679962 -0.07570946  0.36080968 -0.04960773  0.1543031
 -0.19222993  0.08695772  0.10325328  0.06420883]"
505,"In parallel , TeliaSonera has decided to conduct a compulsory acquisition .",1,"[-0.01675813 -0.1316413  -0.03245587  0.0911188  -0.04980101  0.03476603
 -0.12391551  0.31145512 -0.15693945 -0.00778259 -0.04112844 -0.08627125
 -0.00332796 -0.19556838 -0.18238909  0.00555291  0.04014378 -0.09695102
 -0.02758938 -0.13898836  0.13497399 -0.18102572  0.02804384  0.04612747
 -0.07498555  0.05222478 -0.02853617  0.07839398 -0.1563335  -0.03397073
 -0.0965723  -0.09664804  0.00365223 -0.17542074  0.01776173  0.19238717
  0.02899063 -0.19193271 -0.06487386  0.03158482  0.0544592  -0.02385904
 -0.04726362  0.11535656  0.03145227  0.2491944  -0.06707041 -0.05601193
  0.08558957 -0.06714615  0.19329609  0.09255792 -0.27555295 -0.01010222
  0.09248218  0.14065471 -0.0879376   0.33599586 -0.03777681  0.05779189
 -0.24934588 -0.13474676  0.09422427  0.17178507]"
506,Sales increased due to growing market rates and increased operations .,2,"[-3.73643007e-02  4.36800950e-03  3.87236042e-02  1.27840944e-01
  4.13645097e-04 -8.94488711e-02 -1.80489132e-01  1.58872864e-01
 -1.38715381e-01  8.70618044e-02  1.09805290e-01 -8.65313472e-02
 -6.21301653e-02 -2.13245056e-01 -1.85395888e-01  2.16825669e-01
 -7.58558276e-02 -9.87982386e-02  8.10065760e-05  5.45379532e-02
 -7.71819797e-02  4.93659635e-02 -1.32880315e-01  7.11479925e-02
 -1.84998037e-01 -9.92623932e-02 -2.18284436e-01  9.17033324e-02
  7.53253703e-02  9.68090149e-02 -4.29672891e-02 -9.01119516e-02
 -1.39908918e-01  2.99212786e-02  2.19212745e-01  1.42826451e-01
 -3.17613123e-02 -1.34803236e-01 -2.73187081e-02 -1.84998037e-01
  9.17696351e-02  4.64484351e-02  1.32780856e-02  2.09797066e-01
  5.41732615e-02  5.37754186e-02 -1.49772161e-02 -2.62246332e-02
 -1.49722431e-01 -4.92333492e-02 -3.74770224e-01 -7.33361422e-02
  5.17861904e-02  1.55822728e-02  3.09158926e-02  6.12350164e-02
  6.33651445e-03  3.49573379e-01 -1.85130660e-01  1.09341135e-01
 -2.82967442e-02 -2.49813662e-02  6.91587688e-02  7.43307540e-02]"
507,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,1,"[ 0.07434803 -0.00925597 -0.03852525  0.12683606  0.07512875 -0.01174825
 -0.20514772  0.31132486 -0.10551655 -0.04362992  0.12719639 -0.00545374
 -0.07380753 -0.18232684 -0.00341563 -0.04771366 -0.09350556 -0.09788957
 -0.01313702 -0.11938925  0.00432771 -0.11080139 -0.04573184 -0.09951106
  0.00530736 -0.0910433   0.01330217  0.03780459 -0.13536386  0.13356221
 -0.02253562  0.03062802 -0.21571738  0.20142431 -0.07891221 -0.02044871
  0.17668166  0.00696262  0.14569332  0.0873199   0.06203677  0.20154441
 -0.00925597  0.22220333  0.12016996  0.04275913 -0.10617715 -0.09416616
 -0.09806973 -0.04591201  0.02565848 -0.01816662 -0.17740233 -0.10107248
 -0.14905639  0.1061171   0.03131866  0.37186026  0.01512634  0.21403584
 -0.10587688 -0.02523809  0.25199058  0.1565032 ]"
508,EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,2,"[-0.11856104  0.12386226 -0.01475745 -0.16763313  0.14170015  0.03732345
  0.01739015  0.29629513 -0.268213    0.13181409  0.17966833 -0.05215253
 -0.07543491 -0.0411919  -0.17408056 -0.03839802 -0.04520364 -0.21634703
 -0.1931363   0.03246997  0.1732209  -0.11218525  0.00798765 -0.01173074
  0.11569552 -0.07400215  0.09391754  0.16362139  0.09972023  0.03993824
  0.10280066  0.17708936 -0.03789655  0.06612196  0.16834951 -0.11963561
  0.14564024 -0.02580762  0.1527324   0.11719991 -0.04574092  0.04326941
  0.09921875 -0.01912737  0.06834274  0.0269001   0.1480043   0.13131262
  0.03811146  0.10537964 -0.06859347  0.16032605 -0.02224363 -0.03089393
  0.1038036   0.12293097  0.1064542   0.3157807   0.01962884  0.22265118
 -0.12035199  0.01524996  0.13733022 -0.01759611]"
509,"Tyrv+Æinen is of the opinion that the airline has been repeating this for some time already , however .",1,"[-0.10683745  0.00191305 -0.04977082 -0.24856059 -0.04130098  0.14407121
 -0.10633429  0.07115508 -0.10356692 -0.21954508  0.40185639  0.09635497
 -0.05677312 -0.11908098 -0.15010912  0.04490695  0.0137635   0.01742188
 -0.05438311  0.02932998 -0.01726465 -0.02656261 -0.21786788  0.07429983
 -0.0104091  -0.06830385 -0.09115566  0.04964503 -0.11371396 -0.07870247
  0.09677427  0.18164044  0.01447631  0.03264245  0.10666972  0.24285813
  0.08738196  0.13400804 -0.00906735  0.11631361  0.17048708 -0.02928805
  0.05807294  0.12755083 -0.11170131 -0.0210593  -0.01414087  0.31732566
 -0.04136387 -0.00965961  0.09610338  0.07757036  0.06759104 -0.05014819
 -0.15111545  0.22994371 -0.05237048 -0.05673119 -0.13534979  0.06805227
 -0.16285582  0.1426456   0.14507754 -0.08721424]"
510,Cision says the sale will return its U.K. operation to profitability .,2,"[-9.00810440e-03  1.40007876e-01 -2.24371609e-02  1.43464865e-01
  5.01927582e-02  3.36817109e-04 -1.82156507e-01  2.39462675e-01
 -1.81092809e-01  2.21379974e-01  1.00784401e-01 -1.34556479e-01
 -4.88299070e-02 -1.63674930e-01 -2.08349801e-01 -2.25202615e-02
 -8.60257335e-02 -1.66367391e-02  2.03297289e-01 -1.15875471e-01
  8.44302030e-02 -1.04640267e-01  9.82581452e-02 -1.45725193e-01
  1.57060126e-02  5.27190183e-02 -1.78034713e-01  6.09958365e-02
  8.54938927e-02  3.51016922e-02  3.22264110e-02  9.46681994e-02
 -1.00252552e-01  2.26033609e-01  8.88656967e-04 -4.11181748e-02
  8.19039470e-02  7.27961225e-02  2.70741738e-02 -1.12684400e-02
  2.42321338e-02  7.07352251e-02  7.23307556e-02  2.61800102e-01
  1.62611248e-01  1.54766552e-01 -2.87993412e-01 -7.30038730e-03
 -1.90466554e-02  1.03776024e-01  1.48118501e-01  1.83087225e-01
 -1.67780096e-02  1.15543069e-01 -3.06474990e-02  8.85519894e-02
 -1.51139211e-04  1.86411250e-01  1.14213459e-01  2.31019660e-02
 -1.82821312e-01  1.18800612e-01  1.93458177e-01  6.24251658e-02]"
511,"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",0,"[ 0.03930112  0.04664806  0.02251889 -0.03708697 -0.0649651   0.00188549
 -0.16928165  0.19685785 -0.12731349 -0.05208279  0.19615335  0.04234557
 -0.20350029  0.02455691 -0.07855192 -0.1133241  -0.15428583  0.01619095
  0.12831992 -0.0354012  -0.14814661 -0.10104564  0.0450881   0.07467716
 -0.08202411 -0.06607218 -0.13033278 -0.07417394  0.1147331   0.01736093
 -0.11855754  0.06536768 -0.16314243  0.06818568  0.12278455  0.26891829
  0.06048649 -0.12811863  0.25523083  0.10104564  0.14210802  0.03029356
 -0.07175851  0.0217389   0.0104543  -0.21094789 -0.14130288  0.04133914
  0.02326113  0.03603022  0.13023214  0.12731349  0.0623987  -0.10738616
  0.06300256  0.11483374  0.11080803  0.26750928 -0.09208841  0.03824437
  0.07623713  0.04108753  0.39774142 -0.14643567]"
512,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",1,"[ 0.10370095  0.11892365 -0.00797588 -0.06602333  0.01259809 -0.21171793
 -0.08789501  0.17800637 -0.00616417  0.09553552  0.24099682  0.0926193
 -0.17112408  0.06497349 -0.23528102  0.01983033 -0.15339343  0.00523462
 -0.18908801 -0.04490986  0.04345175  0.15817604  0.16050901 -0.0163017
  0.08824497 -0.08182927 -0.10790032  0.03496554  0.10935843 -0.06526511
  0.09314422  0.03411983 -0.07156416  0.06170732  0.10778367  0.01652041
  0.14347826  0.0699894  -0.00092271  0.08013786 -0.07337222 -0.17147402
 -0.00183449  0.11915695  0.06783139  0.25219513 -0.27179216  0.06199894
  0.08993638 -0.02647932 -0.00163217  0.09827678  0.00742908  0.08876988
 -0.09349417  0.12434783 -0.07885472  0.37001061  0.0036143   0.1971368
 -0.09460233 -0.19025451  0.16015907  0.0501299 ]"
